what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654856805
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1284654856830
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284654863231
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654870927
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654891183
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284654892746
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284655137424
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284655138685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284655140652
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656092220
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1284656092285
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656097365
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656110049
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1284656110097
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1284656123309
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284656125357
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284656126528
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284656141885
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284656146190
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284656167463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656170722
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656173469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656177866
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656184869
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1284656186698
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656188503
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656267224
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1284656267281
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656272398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656286647
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1284656288405
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284656292247
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284658446681
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284658447148
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1284658448667
